entered,weeks_in_top_10,title,artist,peak,peak_reached,weeks_at_peak,id,duration_ms,explicit,popularity,tempo,title_words,vocals_start,year,album,preview_url,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,artwork
25-Aug-84,11,I Just Called to Say I Love You,Stevie Wonder,1,08-Sep-84,6,6RNDeRnWsRMjPdNVgupZCs,262240,FALSE,76,113.535,8,7000,1984,at the close of a century,,0.243,0.748,0.551,1.57E-06,1,0.0943,-9.054,1,0.0239,4,0.65,https://i.scdn.co/image/ab67616d00001e02f97219e49a23bfdd4de7eed1
31-Mar-16,16,Cheap Thrills,Sia featuring Sean Paul,2,14-Apr-16,4,2ONIJ40u0Attbm3miIIpNO,212884,FALSE,0,179.98,2,400,2016,this is acting (deluxe version),https://p.scdn.co/mp3-preview/8b626c61bf8bf1459e072f1220c21d8cd1782c1f?cid=8b56eb9fa3db453f9b0089feea311c1b,0.0599,0.592,0.788,2.54E-06,6,0.125,-4.924,0,0.201,4,0.755,https://i.scdn.co/image/ab67616d00001e02754b2fddebe7039fdb912837
28-Oct-95,14,Missing (Todd Terry Club Mix),Everything but the Girl,3,25-Nov-95,2,36sL3KPEfXIp5KH3tDO7oo,249533,FALSE,60,123.473,1,23500,1995,amplified heart,https://p.scdn.co/mp3-preview/caf283234eb925b29f423479af536c9a6efe91cd?cid=8b56eb9fa3db453f9b0089feea311c1b,0.00925,0.718,0.757,0.104,2,0.0851,-11.869,1,0.0327,4,0.646,https://i.scdn.co/image/ab67616d00001e02aed21dc4c18a1568cd2f4b6a
25-Jul-67,11,San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,1,15-Aug-67,4,66ujRcQB3xjilVohGyvTKM,177333,FALSE,52,113.168,2,7300,1967,the graduate - music from the broadway comedy,https://p.scdn.co/mp3-preview/ac2b5fb423f984f2e62646d13ef08c74297f08ef?cid=8b56eb9fa3db453f9b0089feea311c1b,0.457,0.569,0.428,5.08E-06,7,0.105,-13.038,1,0.0292,4,0.617,https://i.scdn.co/image/ab67616d00001e026694d49395fd6b69b2221faa
22-Nov-97,15,Never Ever,All Saints,1,17-Jan-98,1,7ziHnshbknkpFLDW5yGBjO,387573,FALSE,63,134.187,2,3000,1997,all saints,https://p.scdn.co/mp3-preview/a07f748e73d7d37cc364713747fb9c004e33778b?cid=8b56eb9fa3db453f9b0089feea311c1b,0.559,0.738,0.541,0,1,0.0492,-5.485,1,0.0311,4,0.309,https://i.scdn.co/image/ab67616d00001e024245f996f39eb4e9b2eefef8
10-Aug-91,10,I'm Too Sexy,Right Said Fred,2,17-Aug-91,6,2WElktskrNJEwgpp5Vouxk,170466,FALSE,62,122.113,3,300,1991,up,https://p.scdn.co/mp3-preview/37530f88dc9014309da9561203f9b53404801e44?cid=8b56eb9fa3db453f9b0089feea311c1b,4.91E-05,0.683,0.739,0.0122,11,0.293,-12.831,0,0.0495,4,0.836,https://i.scdn.co/image/ab67616d00001e02e569f57668adfcb05b1002de
18-Apr-19,16,Old Town Road,Lil Nas X,1,25-Apr-19,2,2YpeDb67231RjR0MgVLzsG,157066,FALSE,84,136.041,3,2100,2019,7 ep,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=8b56eb9fa3db453f9b0089feea311c1b,0.0533,0.878,0.619,0,6,0.113,-5.56,1,0.102,4,0.639,https://i.scdn.co/image/ab67616d00001e02c0e7bf5cdd630f314f20586a
11-Jul-92,13,Rhythm Is a Dancer,Snap!,1,08-Aug-92,6,4RADreHMvMkZwsPgPr9z5c,225882,FALSE,70,124.249,4,46500,1992,the madman's return,https://p.scdn.co/mp3-preview/28dcbeb4684bfb4e7f80c8fad0455a330bbfd054?cid=8b56eb9fa3db453f9b0089feea311c1b,0.273,0.794,0.745,0.000414,9,0.143,-11.367,0,0.037,4,0.706,https://i.scdn.co/image/ab67616d00001e02f2bb243604066dc0b62b66a1
08-Sep-84,11,Ghostbusters,Ray Parker Jr.,2,22-Sep-84,3,300zfRaCgTmEm5Eqe3HqZZ,240800,FALSE,63,115.384,1,29300,1984,arista heritage series: ray parker,https://p.scdn.co/mp3-preview/e3675383ad08b0de9ab8e6257fb1c680a4f1f316?cid=8b56eb9fa3db453f9b0089feea311c1b,0.0125,0.779,0.717,0.0536,6,0.355,-9.7,0,0.0335,4,0.789,https://i.scdn.co/image/ab67616d00001e0232f8412a7cae5f847aef07d8
13-Mar-71,10,Hot Love,T. Rex,1,20-Mar-71,6,7EZw2AXVKWSNq5n7cw94RF,298093,FALSE,43,131.079,2,7280,1971,electric warrior [expanded & remastered],https://p.scdn.co/mp3-preview/7e20e2a02eca72f60519c01d2c1115834ffa48d0?cid=8b56eb9fa3db453f9b0089feea311c1b,0.116,0.553,0.533,0.324,11,0.0944,-9.562,0,0.047,4,0.514,https://i.scdn.co/image/ab67616d00001e027762663eeab308df9d240cd0
